sale_date,product_id,units_sold,sales_amount
2025-06-29,PROD-005,16,111680
2025-06-30,PROD-001,8,238400
2025-06-30,PROD-002,57,283860
2025-06-30,PROD-003,23,137540
2025-06-30,PROD-004,14,69720
2025-06-30,PROD-005,18,125640
2025-07-01,PROD-001,9,268200
2025-07-01,PROD-002,48,239040
2025-07-01,PROD-003,21,125580
2025-07-01,PROD-004,34,169320
2025-07-01,PROD-005,17,118660
2025-07-02,PROD-001,8,238400
2025-07-02,PROD-002,59,293820
2025-07-02,PROD-003,17,101660
2025-07-02,PROD-004,34,169320
2025-07-02,PROD-005,14,97720
2025-07-03,PROD-001,7,208600
2025-07-03,PROD-002,22,109560
2025-07-03,PROD-003,16,95680
2025-07-03,PROD-004,30,149400
2025-07-03,PROD-005,17,118660
2025-07-04,PROD-001,6,178800
2025-07-04,PROD-002,20,99600
2025-07-04,PROD-003,21,125580
2025-07-04,PROD-004,29,144420
2025-07-04,PROD-005,11,76780
2025-07-05,PROD-001,7,208600
2025-07-05,PROD-002,18,89640
2025-07-05,PROD-003,27,161460
2025-07-05,PROD-004,40,199200
2025-07-05,PROD-005,13,90740
2025-07-06,PROD-001,6,178800
2025-07-06,PROD-002,19,94620
2025-07-06,PROD-003,25,149500
2025-07-06,PROD-004,32,159360
2025-07-06,PROD-005,15,104700
2025-07-07,PROD-001,33,983400
2025-07-07,PROD-002,20,99600
2025-07-07,PROD-003,22,131560
2025-07-07,PROD-004,32,159360
2025-07-07,PROD-005,12,83760
2025-07-08,PROD-001,36,1072800
2025-07-08,PROD-002,18,89640
2025-07-08,PROD-003,21,125580
2025-07-08,PROD-004,32,159360
2025-07-08,PROD-005,18,125640
2025-07-09,PROD-001,33,983400
2025-07-09,PROD-002,15,74700
2025-07-09,PROD-003,35,209300
2025-07-09,PROD-004,33,164340
2025-07-09,PROD-005,12,83760
2025-07-10,PROD-001,16,476800
2025-07-10,PROD-002,14,69720
2025-07-10,PROD-003,75,448500
2025-07-10,PROD-004,27,134460
2025-07-10,PROD-005,13,90740
2025-07-11,PROD-001,17,506600
2025-07-11,PROD-002,29,144420
2025-07-11,PROD-003,85,508300
2025-07-11,PROD-004,26,129480
2025-07-11,PROD-005,11,76780
2025-07-12,PROD-001,9,268200
2025-07-12,PROD-002,36,179280
2025-07-12,PROD-003,90,538200
2025-07-12,PROD-004,39,194220
2025-07-12,PROD-005,19,132620
2025-07-13,PROD-001,13,387400
2025-07-13,PROD-002,37,184260
2025-07-13,PROD-003,80,478400
2025-07-13,PROD-004,40,199200
2025-07-13,PROD-005,22,153560
2025-07-14,PROD-001,12,357600
2025-07-14,PROD-002,14,69720
2025-07-14,PROD-003,56,334880
2025-07-14,PROD-004,37,184260
2025-07-14,PROD-005,15,104700
2025-07-15,PROD-001,15,447000
2025-07-15,PROD-002,15,74700
2025-07-15,PROD-003,53,316940
2025-07-15,PROD-004,35,174300
2025-07-15,PROD-005,16,111680
2025-07-16,PROD-001,13,387400
2025-07-16,PROD-002,16,79680
2025-07-16,PROD-003,68,406640
2025-07-16,PROD-004,33,164340
2025-07-16,PROD-005,16,111680
2025-07-17,PROD-001,9,268200
2025-07-17,PROD-002,14,69720
2025-07-17,PROD-003,66,394680
2025-07-17,PROD-004,39,194220
2025-07-17,PROD-005,20,139600
2025-07-18,PROD-001,15,447000
2025-07-18,PROD-002,15,74700
2025-07-18,PROD-003,37,221260
2025-07-18,PROD-004,35,174300
2025-07-18,PROD-005,19,132620
2025-07-19,PROD-001,16,476800
2025-07-19,PROD-002,16,79680
2025-07-19,PROD-003,58,346840
2025-07-19,PROD-004,44,219120
2025-07-19,PROD-005,20,139600
2025-07-20,PROD-001,16,476800
2025-07-20,PROD-002,15,74700
2025-07-20,PROD-003,44,263120
2025-07-20,PROD-004,30,149400
2025-07-20,PROD-005,19,132620
2025-07-21,PROD-001,9,268200
2025-07-21,PROD-002,14,69720
2025-07-21,PROD-003,29,173420
2025-07-21,PROD-004,28,139440
2025-07-21,PROD-005,15,104700
2025-07-22,PROD-001,12,357600
2025-07-22,PROD-002,29,144420
2025-07-22,PROD-003,30,179400
2025-07-22,PROD-004,32,159360
2025-07-22,PROD-005,19,132620
2025-07-23,PROD-001,10,298000
2025-07-23,PROD-002,32,159360
2025-07-23,PROD-003,24,143520
2025-07-23,PROD-004,29,144420
2025-07-23,PROD-005,20,139600
2025-07-24,PROD-001,14,417200
2025-07-24,PROD-002,36,179280
2025-07-24,PROD-003,27,161460
2025-07-24,PROD-004,30,149400
2025-07-24,PROD-005,21,146580
2025-07-25,PROD-001,9,268200
2025-07-25,PROD-002,31,154380
2025-07-25,PROD-003,27,161460
2025-07-25,PROD-004,28,139440
2025-07-25,PROD-005,20,139600
2025-07-26,PROD-001,16,476800
2025-07-26,PROD-002,37,184260
2025-07-26,PROD-003,30,179400
2025-07-26,PROD-004,29,144420
2025-07-26,PROD-005,21,146580
2025-07-27,PROD-001,14,417200
2025-07-27,PROD-002,39,194220
2025-07-27,PROD-003,26,155480
2025-07-27,PROD-004,65,323700
2025-07-27,PROD-005,18,125640
2025-07-28,PROD-001,15,447000
2025-07-28,PROD-002,32,159360
2025-07-28,PROD-003,29,173420
2025-07-28,PROD-004,130,647400
2025-07-28,PROD-005,15,104700
2025-07-29,PROD-001,17,506600
2025-07-29,PROD-002,34,169320
2025-07-29,PROD-003,30,179400
2025-07-29,PROD-004,140,697200
2025-07-29,PROD-005,23,160540
2025-07-30,PROD-001,17,506600
2025-07-30,PROD-002,28,139440
2025-07-30,PROD-003,26,155480
2025-07-30,PROD-004,135,672300
2025-07-30,PROD-005,16,111680
2025-07-31,PROD-001,8,238400
2025-07-31,PROD-002,34,169320
2025-07-31,PROD-003,20,119600
2025-07-31,PROD-004,70,348600
2025-07-31,PROD-005,12,83760
2025-08-01,PROD-001,12,357600
2025-08-01,PROD-002,27,134460
2025-08-01,PROD-003,25,149500
2025-08-01,PROD-004,49,244020
2025-08-01,PROD-005,13,90740
2025-08-02,PROD-001,18,536400
2025-08-02,PROD-002,34,169320
2025-08-02,PROD-003,31,185380
2025-08-02,PROD-004,38,189240
2025-08-02,PROD-005,14,97720
2025-08-03,PROD-001,13,387400
2025-08-03,PROD-002,40,199200
2025-08-03,PROD-003,27,161460
2025-08-03,PROD-004,46,229080
2025-08-03,PROD-005,15,104700
2025-08-04,PROD-001,16,476800
2025-08-04,PROD-002,29,144420
2025-08-04,PROD-003,21,125580
2025-08-04,PROD-004,40,199200
2025-08-04,PROD-005,13,90740
2025-08-05,PROD-001,15,447000
2025-08-05,PROD-002,26,129480
2025-08-05,PROD-003,24,143520
2025-08-05,PROD-004,37,184260
2025-08-05,PROD-005,12,83760
2025-08-06,PROD-001,10,298000
2025-08-06,PROD-002,29,144420
2025-08-06,PROD-003,10,59800
2025-08-06,PROD-004,36,179280
2025-08-06,PROD-005,11,76780
2025-08-07,PROD-001,10,298000
2025-08-07,PROD-002,30,149400
2025-08-07,PROD-003,9,53820
2025-08-07,PROD-004,37,184260
2025-08-07,PROD-005,13,90740
2025-08-08,PROD-001,25,745000
2025-08-08,PROD-002,29,144420
2025-08-08,PROD-003,10,59800
2025-08-08,PROD-004,35,174300
2025-08-08,PROD-005,12,83760
2025-08-09,PROD-001,21,625800
2025-08-09,PROD-002,32,159360
2025-08-09,PROD-003,11,65780
2025-08-09,PROD-004,45,224100
2025-08-09,PROD-005,11,76780
2025-08-10,PROD-001,15,447000
2025-08-10,PROD-002,37,184260
2025-08-10,PROD-003,10,59800
2025-08-10,PROD-004,38,189240
2025-08-10,PROD-005,18,125640
2025-08-11,PROD-001,15,447000
2025-08-11,PROD-002,27,134460
2025-08-11,PROD-003,9,53820
2025-08-11,PROD-004,33,164340
2025-08-11,PROD-005,17,118660
2025-08-12,PROD-001,21,625800
2025-08-12,PROD-002,31,154380
2025-08-12,PROD-003,9,53820
2025-08-12,PROD-004,79,393420
2025-08-12,PROD-005,17,118660
2025-08-13,PROD-001,18,536400
2025-08-13,PROD-002,34,169320
2025-08-13,PROD-003,10,59800
2025-08-13,PROD-004,55,273900
2025-08-13,PROD-005,19,132620
2025-08-14,PROD-001,8,238400
2025-08-14,PROD-002,34,169320
2025-08-14,PROD-003,22,131560
2025-08-14,PROD-004,89,443220
2025-08-14,PROD-005,20,139600
